;timestamp;accX;accY;accZ;username
340;2159344966506788;-0.095764;-9.595963;0.306458;ziga2
341;2159344982375928;0.000000;-9.710876;0.995987;ziga2
342;2159344998245069;-0.498001;-9.883270;0.612915;ziga2
343;2159345014114210;-1.647217;-10.975021;-1.877060;ziga2
344;2159345029983350;-2.681503;-11.779480;-4.596863;ziga2
345;2159345045760938;-3.409348;-12.143387;-1.934509;ziga2
346;2159345061599561;-4.156342;-12.047623;2.355896;ziga2
347;2159345077438184;-4.577713;-11.894394;1.206680;ziga2
348;2159345093307325;-4.252106;-12.085938;0.038315;ziga2
349;2159345109145948;-1.991974;-12.181702;-1.398209;ziga2
350;2159345125015088;0.325607;-12.028473;-3.505112;ziga2
351;2159345140792676;0.191544;-11.607086;-3.485962;ziga2
352;2159345156631299;-1.991974;-11.626251;-4.137177;ziga2
353;2159345172469922;-4.845871;-12.277466;-3.639191;ziga2
354;2159345188339063;-6.742065;-12.124237;-2.796432;ziga2
355;2159345204177686;-7.029373;-11.511322;-1.283295;ziga2
356;2159345220046827;-5.688629;-10.132263;0.172379;ziga2
357;2159345235824415;-3.715805;-10.994171;3.447647;ziga2
358;2159345251663038;0.191544;-13.579910;6.244080;ziga2
359;2159345267501661;3.122040;-18.272552;4.501099;ziga2
360;2159345283370801;4.367020;-20.896591;0.172379;ziga2
361;2159345299209424;3.409348;-17.104172;-2.949661;ziga2
362;2159345315078565;2.968811;-14.211975;-3.485962;ziga2
363;2159345330856153;3.715805;-13.369217;-1.532288;ziga2
364;2159345346633741;3.083725;-13.177689;0.727844;ziga2
365;2159345362472364;2.987961;-12.430695;1.589752;ziga2
366;2159345378341504;-1.991974;-11.377243;6.588837;ziga2
367;2159345394210645;-3.581726;-7.948746;-3.830719;ziga2
368;2159345410079786;-2.413361;-6.837845;-0.517151;ziga2
369;2159345425948926;-1.551437;-7.431595;2.987961;ziga2
370;2159345441726514;0.325607;-6.933609;1.838745;ziga2
371;2159345457565137;1.723831;-5.592850;1.857895;ziga2
372;2159345473403760;3.332733;-4.213791;2.183517;ziga2
373;2159345489272901;4.635178;-3.275269;2.126053;ziga2
374;2159345505111524;4.367020;-2.853882;1.819595;ziga2
375;2159345520980665;3.217804;-2.853882;1.340759;ziga2
376;2159345536758252;2.413361;-2.949661;1.091751;ziga2
377;2159345552535840;2.298431;-3.141190;0.746994;ziga2
378;2159345568374463;2.240967;-3.428497;0.000000;ziga2
379;2159345584243604;2.566589;-4.041412;-1.666367;ziga2
380;2159345600112745;3.715805;-5.477936;-3.562576;ziga2
381;2159345615981885;3.332733;-8.829819;-7.527374;ziga2
382;2159345631851026;-3.524261;-14.595047;-14.671661;ziga2
383;2159345647628614;-12.871231;-20.685898;-18.732239;ziga2
384;2159345663467237;-17.027557;-22.831116;-17.851166;ziga2
385;2159345679305860;-10.821793;-18.636475;-9.251190;ziga2
386;2159345695175001;-4.041412;-11.702866;-4.252106;ziga2
387;2159345711013624;-2.011124;-5.784393;-4.271255;ziga2
388;2159345726882764;-1.589752;-1.934509;-3.926498;ziga2
389;2159345742660352;1.953674;-3.505112;-2.719818;ziga2
390;2159345758437940;3.409348;-10.477020;-0.019150;ziga2
391;2159345774276563;4.041412;-21.930893;-1.915359;ziga2
392;2159345790145704;-4.405334;-30.243561;-12.124237;ziga2
393;2159345806014844;5.152328;-6.818680;3.045425;ziga2
394;2159345821883985;14.633362;5.363007;6.722916;ziga2
395;2159345837753126;9.097961;4.577713;6.205765;ziga2
396;2159345853530713;-3.830719;-4.328720;5.363007;ziga2
397;2159345869369336;-6.933609;-15.820892;7.757217;ziga2
398;2159345885207960;-6.703766;-20.781677;-0.344772;ziga2
399;2159345901077100;-6.799530;-15.303741;-5.075714;ziga2
400;2159345916915723;-2.145203;-8.523361;-1.283295;ziga2
401;2159345932784864;1.264145;-7.182602;2.298431;ziga2
402;2159345948562452;2.528275;-7.987061;2.221817;ziga2
403;2159345964401075;2.604889;-8.542511;1.493988;ziga2
404;2159345980239698;2.279282;-8.216904;1.398209;ziga2
405;2159345996108838;0.823608;-9.193741;1.206680;ziga2
406;2159346011947461;-0.785294;-10.113113;-0.746994;ziga2
407;2159346027816602;-1.589752;-10.342957;-1.513138;ziga2
