,timestamp,accX,accY,accZ,username
70,2153602737197182,4.807556,-9.193741,2.221817,fri-tilen1
71,2153602753066322,5.401321,-8.638275,-0.957687,fri-tilen1
72,2153602768904945,4.194641,-8.197754,-1.953674,fri-tilen1
73,2153602784743568,3.294418,-7.546524,-1.206680,fri-tilen1
74,2153602800582191,2.183517,-7.412445,0.727844,fri-tilen1
75,2153602816420814,0.612915,-9.653427,2.049438,fri-tilen1
76,2153602832259437,-0.038315,-11.626251,1.493988,fri-tilen1
77,2153602848098061,1.857895,-12.258316,-2.126053,fri-tilen1
78,2153602863967201,6.569687,-11.338943,-5.899307,fri-tilen1
79,2153602879805824,9.212891,-10.936707,-4.098877,fri-tilen1
80,2153602895644447,9.193741,-9.844955,-2.336746,fri-tilen1
81,2153602911483070,7.450760,-9.653427,-3.313568,fri-tilen1
82,2153602927352211,6.512222,-10.477020,-1.934509,fri-tilen1
83,2153602943190834,5.669464,-10.840942,-4.424484,fri-tilen1
84,2153602959059975,3.505112,-11.051636,-8.025360,fri-tilen1
85,2153602974898598,4.079727,-11.358093,-5.554550,fri-tilen1
86,2153602990737221,4.558563,-10.802643,-4.501099,fri-tilen1
87,2153603006575844,5.573700,-10.477020,-4.194641,fri-tilen1
88,2153603022414467,8.504211,-10.113113,4.213791,fri-tilen1
89,2153603038253090,9.883270,-9.212891,8.236053,fri-tilen1
90,2153603054122230,8.963898,-10.860092,4.041412,fri-tilen1
91,2153603069960853,6.991074,-13.694839,-1.934509,fri-tilen1
92,2153603085799477,1.953674,-17.985245,-6.263229,fri-tilen1
93,2153603101638100,-1.417374,-20.283676,-3.39018,fri-tilen12
94,2153603117476723,-2.777267,-17.851166,-0.30645,fri-tilen18
